Data;taxa_media
01/06/2000;2,57
01/07/2000;2,59
01/08/2000;2,52
01/09/2000;2,55
01/10/2000;2,48
01/11/2000;2,49
01/12/2000;2,54
01/01/2001;2,53
01/02/2001;2,5
01/03/2001;2,45
01/04/2001;2,61
01/05/2001;2,68
01/06/2001;2,76
01/07/2001;2,96
01/08/2001;3,1
01/09/2001;3,1
01/10/2001;3,19
01/11/2001;2,87
01/12/2001;2,74
01/01/2002;2,96
01/02/2002;2,96
01/03/2002;2,89
01/04/2002;2,66
01/05/2002;2,77
01/06/2002;3,01
01/07/2002;3,46
01/08/2002;3,44
01/09/2002;3,28
01/10/2002;3,61
01/11/2002;3,72
01/12/2002;3,75
01/01/2003;3,66
01/02/2003;3,62
01/03/2003;3,63
01/04/2003;3,45
01/05/2003;3,29
01/06/2003;3,15
01/07/2003;3,02
01/08/2003;2,93
01/09/2003;2,77
01/10/2003;2,68
01/11/2003;2,63
01/12/2003;2,65
01/01/2004;2,6
01/02/2004;2,57
01/03/2004;2,54
01/04/2004;2,53
01/05/2004;2,55
01/06/2004;2,62
01/07/2004;2,6
01/08/2004;2,62
01/09/2004;2,58
01/10/2004;2,57
01/11/2004;2,57
01/12/2004;2,57
01/01/2005;2,63
01/02/2005;2,61
01/03/2005;2,64
01/04/2005;2,66
01/05/2005;2,68
01/06/2005;2,65
01/07/2005;2,6
01/08/2005;2,57
01/09/2005;2,59
01/10/2005;2,57
01/11/2005;2,53
01/12/2005;2,52
01/01/2006;2,55
01/02/2006;2,54
01/03/2006;2,5
01/04/2006;2,47
01/05/2006;2,43
01/06/2006;2,42
01/07/2006;2,38
01/08/2006;2,4
01/09/2006;2,4
01/10/2006;2,4
01/11/2006;2,41
01/12/2006;2,36
01/01/2007;2,38
01/02/2007;2,34
01/03/2007;2,29
01/04/2007;2,24
01/05/2007;2,2
01/06/2007;2,17
01/07/2007;2,12
01/08/2007;2,12
01/09/2007;2,12
01/10/2007;2,11
01/11/2007;2,11
01/12/2007;2,13
01/01/2008;2,29
01/02/2008;2,29
01/03/2008;2,22
01/04/2008;2,2
01/05/2008;2,25
01/06/2008;2,28
01/07/2008;2,43
01/08/2008;2,43
01/09/2008;2,41
01/10/2008;2,48
01/11/2008;2,7
01/12/2008;2,63
01/01/2009;2,51
01/02/2009;2,32
01/03/2009;2,19
01/04/2009;2,2
01/05/2009;2,15
01/06/2009;2
01/07/2009;2,01
01/08/2009;1,96
01/09/2009;1,87
01/10/2009;1,91
01/11/2009;1,9
01/12/2009;1,9
01/01/2010;1,89
01/02/2010;1,82
01/03/2010;1,78
01/04/2010;1,78
01/05/2010;1,86
01/06/2010;1,78
01/07/2010;1,81
01/08/2010;1,77
01/09/2010;1,76
01/10/2010;1,78
01/11/2010;1,72
01/12/2010;1,89
01/01/2011;2,02
01/02/2011;2,03
01/03/2011;2,08
01/04/2011;2,11
01/05/2011;2,1
01/06/2011;2,08
01/07/2011;2,08
01/08/2011;2,04
01/09/2011;1,96
01/10/2011;1,96
01/11/2011;1,94
01/12/2011;1,89
01/01/2012;1,91
01/02/2012;1,92
01/03/2012;1,9
01/04/2012;1,86
01/05/2012;1,71
01/06/2012;1,55
01/07/2012;1,58
01/08/2012;1,55
01/09/2012;1,61
01/10/2012;1,57
01/11/2012;1,56
01/12/2012;1,51
01/01/2013;1,57
01/02/2013;1,58
01/03/2013;1,51
01/04/2013;1,53
01/05/2013;1,51
